PDF Name,Employee ID,Ajeer ID,Issue Date,Expiry Date,Status
104526.pdf,104526,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
97092.pdf,97092,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
99496.pdf,99496,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
104526.pdf,104526,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
97092.pdf,97092,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
99496.pdf,99496,-,-,-,Failed ❌ (fill_web_form() missing 1 required positional argument: 'pdf_path')
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,-,-,-,"Failed ❌ (Page.screenshot: Timeout 30000ms exceeded.
Call log:
  - taking page screenshot
  - waiting for fonts to load...
  - fonts loaded
)"
97092.pdf,97092,TQ5568330,2025-08-23,2026-02-23,Success ✅
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.screenshot: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.fill: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,-,-,-,Failed ❌ (cannot access local variable 'success' where it is not associated with a value)
97092.pdf,97092,-,-,-,Failed ❌ (cannot access local variable 'success' where it is not associated with a value)
99496.pdf,99496,-,-,-,"Failed ❌ (Page.fill: Target page, context or browser has been closed
Call log:
  - waiting for locator(""input#field-1\\|input"")
)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,-,-,-,"Failed ❌ (Page.wait_for_timeout: Target page, context or browser has been closed)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.goto: Target page, context or browser has been closed)"
104526.pdf,104526,TQ5564474,2025-08-23,2026-02-23,Success ✅
97092.pdf,97092,TQ5568330,2025-08-23,2026-02-23,Success ✅
99496.pdf,99496,TQ5681102,2025-09-17,2025-10-17,Success ✅
104526.pdf,104526,-,-,-,"Failed ❌ (Page.wait_for_selector: Unknown engine ""deep"" while parsing selector oj-file-picker >> deep=input[type=file]
Call log:
  - waiting for locator(""oj-file-picker"").locator(""deep=input[type=file]"") to be visible
)"
97092.pdf,97092,-,-,-,"Failed ❌ (Page.wait_for_selector: Unknown engine ""deep"" while parsing selector oj-file-picker >> deep=input[type=file]
Call log:
  - waiting for locator(""oj-file-picker"").locator(""deep=input[type=file]"") to be visible
)"
99496.pdf,99496,-,-,-,"Failed ❌ (Page.wait_for_selector: Unknown engine ""deep"" while parsing selector oj-file-picker >> deep=input[type=file]
Call log:
  - waiting for locator(""oj-file-picker"").locator(""deep=input[type=file]"") to be visible
)"
104526.pdf,104526,-,-,-,"Failed ❌ (Page.wait_for_selector: Unknown engine ""deep"" while parsing selector oj-file-picker >> deep=input[type=file]
Call log:
  - waiting for locator(""oj-file-picker"").locator(""deep=input[type=file]"") to be visible
)"
97092.pdf,97092,-,-,-,"Failed ❌ (Page.wait_for_selector: Unknown engine ""deep"" while parsing selector oj-file-picker >> deep=input[type=file]
Call log:
  - waiting for locator(""oj-file-picker"").locator(""deep=input[type=file]"") to be visible
)"
